Название пары,Дата сделки,Стратегия сделки,Цена сделки
DOGEUSDT,2023-02-01 19:37:37,Close Long,441
SHIB1000USDT,2023-02-01 19:31:57,Close Short,2000
MATICUSDT,2023-02-01 19:31:53,Close Short,20
SHIB1000USDT,2023-02-01 19:00:43,Close Long,2000
MATICUSDT,2023-02-01 19:00:42,Close Long,20
MATICUSDT,2023-02-01 14:35:06,Close Short,20
SHIB1000USDT,2023-02-01 14:34:23,Close Short,2000
SHIB1000USDT,2023-02-01 13:16:19,Close Long,2000
MATICUSDT,2023-02-01 13:16:05,Close Long,20
SHIB1000USDT,2023-02-01 13:06:23,Close Short,2000
DOGEUSDT,2023-01-31 13:52:45,Close Long,210
SHIB1000USDT,2023-01-31 13:30:24,Close Long,2000
SHIB1000USDT,2023-01-31 10:13:30,Close Short,2000
DOGEUSDT,2023-01-31 08:39:26,Close Short,210
DOGEUSDT,2023-01-31 07:01:23,Close Short,210
SHIB1000USDT,2023-01-31 06:46:09,Close Short,2000
SHIB1000USDT,2023-01-31 06:30:42,Close Long,2000
DOGEUSDT,2023-01-31 05:58:10,Close Short,210
SHIB1000USDT,2023-01-31 05:56:44,Close Short,4200
DOGEUSDT,2023-01-31 04:56:55,Close Long,210
DOGEUSDT,2023-01-31 04:12:10,Close Short,695
SHIB1000USDT,2023-01-30 23:19:57,Close Long,2000
DOGEUSDT,2023-01-30 23:18:40,Close Long,210
SHIB1000USDT,2023-01-30 19:19:03,Close Long,2410
SHIB1000USDT,2023-01-30 19:18:20,Close Long,1790
SHIB1000USDT,2023-01-30 17:35:25,Close Short,2000
DOGEUSDT,2023-01-30 17:27:00,Close Short,210
DOGEUSDT,2023-01-30 17:15:41,Close Long,441
SHIB1000USDT,2023-01-30 17:14:22,Close Long,2000
SHIB1000USDT,2023-01-30 16:15:52,Close Long,2000
SHIB1000USDT,2023-01-30 15:34:29,Close Short,2000
SHIB1000USDT,2023-01-30 14:50:26,Close Long,2000
SHIB1000USDT,2023-01-30 08:55:43,Close Short,1400
DOGEUSDT,2023-01-30 01:38:20,Close Short,140
DOGEUSDT,2023-01-30 01:38:20,Close Short,70
DOGEUSDT,2023-01-29 18:48:12,Close Long,165
DOGEUSDT,2023-01-29 16:31:47,Close Short,165
DOGEUSDT,2023-01-29 11:04:55,Close Short,165
DOGEUSDT,2023-01-29 10:42:52,Close Long,165
SHIB1000USDT,2023-01-29 09:26:03,Close Long,1400
SHIB1000USDT,2023-01-29 07:24:57,Close Short,1400
